Instance,MAE
226,7.3799276172689545
227,4.899912442092439
228,5.55258848844646
229,5.649431849054847
230,5.537735321802951
231,9.110909657699787
232,5.782955366158696
233,10.732334389225828
234,6.414292422361135
235,9.654552384284335
236,3.449627148430783
237,5.077101603407254
238,3.593628084704113
239,6.457917690447999
240,10.32853010516566
241,4.318097692553579
242,3.390274320343631
243,10.322036143651516
244,6.523784326042169
245,7.940799248096602
246,6.5802990776889745
247,9.683386538382814
248,5.482394819845754
249,8.187872654493562
250,3.266689315935116
251,4.564208189403762
252,9.731329091073198
253,4.741654996013568
254,10.12306595632497
255,4.770498973115232
256,9.897993354393998
257,4.842595665610987
258,4.547144538186217
259,7.888558698731156
260,8.10912463882721
261,7.809572221044815
262,5.817383930897584
263,9.38985169347991
264,4.406556029659606
265,4.977026737136582
266,9.924797148927473
267,6.7412047031835876
268,10.458784821359124
269,9.580221705274596
270,3.9587061339963796
271,6.521116097180442
272,7.534458615632733
273,7.0031098129565335
274,9.003727165396576
275,6.193337874098529
276,5.655470698982097
277,6.230170146368924
278,6.861274858379581
279,8.289271004603
280,9.307067247262447
281,5.934293632842389
282,8.251742802887781
283,5.934443692719719
284,7.806134486609156
285,6.869077442545915
286,7.220665339290767
287,8.118974822725315
288,6.249280144294367
289,6.279034435271627
290,3.6940807978904604
291,10.500114700242246
292,8.939678042163264
293,3.61404206207542
294,3.3210627407414566
295,5.0417434639068
296,9.555765527730303
297,9.320955368629656
298,6.852075216686095
299,4.9058737591846056
300,10.110242709865501
301,8.102777604476781
302,10.161528951164074
303,9.842550517909055
304,8.094167428613959
305,5.168749151678923
306,4.5893733250573066
307,5.974302324347469
308,5.0249710241158665
309,8.15176477774593
310,4.956443041867826
311,8.277251144175082
312,5.336752640973718
313,7.59065144821512
314,10.510170610583572
315,9.458222124518576
