Instance,T2M_Actual,T2M_Predicted
94,19.04,13.640669138137637
95,22.81,16.336469261445632
96,18.22,13.051779956056384
97,21.26,15.228571456384495
98,16.67,11.94326233141044
99,16.62,11.907740107120759
100,12.37,8.864313790358768
101,20.38,14.597835809629496
102,5.52,3.956995578804914
103,9.63,6.902064222971281
104,16.63,11.91602357688481
105,6.070000000000001,4.351132820843657
106,21.82,15.628060528731261
107,8.47,6.070729934615933
108,19.29,13.818233194818138
109,21.69,15.534929311256214
110,21.12,15.126359479670358
111,21.39,15.321370359353317
112,22.88,16.388788928676146
113,22.62,16.202194204606947
114,21.68,15.528384192826257
115,14.16,10.145824176200804
116,11.69,8.37766563040192
117,20.85,14.93582382331492
118,23.48,16.817393004770434
119,11.51,8.248925026743738
120,21.4,15.329458816173535
121,20.35,14.576173866425178
122,17.84,12.780200774994793
123,20.72,14.841898982825793
124,11.2,8.026828121644897
125,24.85,17.799892479210424
126,10.24,7.3394967652005425
127,11.88,8.514035478082977
128,22.21,15.907593367250275
129,16.45,11.786770763988073
130,22.45,16.079413673899605
131,18.7,13.398408503614126
132,20.24,14.498470103028788
133,9.05,6.486680225212892
134,24.02,17.205215442526672
135,19.98,14.3125619603517
136,22.53,16.137420534404058
137,21.12,15.12842649484312
138,10.44,7.482031556793034
139,20.8,14.903427483995634
140,11.94,8.55778267139247
141,25.27,18.099675716745
142,22.48,16.101832756385203
143,12.96,9.28884602514023
144,22.67,16.23867031595804
145,11.94,8.55733782059159
146,10.14,7.267296906685998
147,7.85,5.626986907663727
148,16.67,11.943818450448383
149,9.19,6.586745279230178
150,9.26,6.636990499120229
151,20.8,14.898208240574089
152,16.36,11.722136634515914
153,8.66,6.207320055632197
154,15.029999999999998,10.76882000750155
155,15.520000000000001,11.121080512828199
156,14.99,10.74087930477689
157,21.31,15.2633848866503
158,22.81,16.33810040210896
159,9.92,7.1102264147636705
160,10.32,7.396274867762262
161,6.85,4.910122149608961
162,18.53,13.274143688504765
163,24.81,17.771177266395778
164,17.67,12.65881965962506
165,21.04,15.070343128732153
166,21.8,15.618361355089108
167,21.36,15.298735433304309
168,20.45,14.648338101639979
169,4.53,3.2474599061060925
170,19.87,14.234716271548217
171,16.53,11.844628572620534
172,16.18,11.592400184701326
173,7.95,5.698069628105095
174,18.55,13.290955601516238
175,17.53,12.5613499169234
176,8.52,6.106468303783194
177,9.81,7.030825833095846
178,8.01,5.741588217859786
179,23.45,16.797045308144934
180,10.28,7.36747994230563
181,9.41,6.7441694878138625
182,11.25,8.062799341638476
183,10.44,7.482513377707167
184,22.69,16.25119590125943
185,19.02,13.625029012058869
186,7.97,5.712693554318604
187,21.69,15.539648105550938
188,23.93,17.139714177387873
189,8.65,6.2001154002988095
190,19.44,13.92685735176613
191,16.11,11.543298468376307
192,14.910000000000002,10.683075345062665
193,7.38,5.2898860078833865
194,17.51,12.544782048166283
195,24.52,17.564914244367483
196,18.28,13.095588423398627
197,16.16,11.577795063017827
198,5.26,3.77079158250536
199,15.16,10.862451833062197
