Instance,WS10M_RANGE_Actual,WS10M_RANGE_Predicted
98,4.13,2.9327577206806446
99,3.8299999999999996,2.7197756777300564
100,4.33,3.0748925616065885
101,3.63,2.5776865426376854
102,2.55,1.8108739234832436
103,4.03,2.8618235083342416
104,4.9799999999999995,3.5362585372754074
105,4.34,3.0819685947457263
106,4.86,3.4509482865347483
107,3.13,2.22271604409306
108,2.97,2.1090593558282134
109,5.449999999999999,3.869788772106147
110,4.37,3.103134773890203
111,3.77,2.676964626438156
112,4.21,2.9893585702790535
113,4.02,2.8545590770777176
114,3.86,2.74093418985876
115,3.58,2.5422011175837196
116,2.96,2.101989372542623
117,4.43,3.1456532861659845
118,4.29,3.0461243268342524
119,5.4,3.8344265018935295
120,4.07,2.8899571222916522
121,3.72,2.64159352719864
122,1.8,1.278246123058664
123,3.42,2.42852075076741
124,5.139999999999999,3.649861343178871
125,4.03,2.861392604576422
126,5.059999999999999,3.592929187855855
127,3.96,2.812042583201306
128,3.84,2.7266770841397743
129,4.49,3.1883039218978304
130,5.359999999999999,3.805947736844342
131,5.449999999999999,3.869759349555831
132,3.11,2.2084727853081363
133,3.41,2.421545585425553
134,4.94,3.507730730179118
135,3.28,2.3291136064045763
136,5.079999999999999,3.606994712922808
137,2.98,2.116009792756163
138,3.95,2.8050609491141327
139,5.0,3.5502021525690792
140,3.11,2.208389619417181
141,4.72,3.3513502567506275
142,4.969999999999999,3.5289008051539597
143,1.9900000000000002,1.4130999747017514
144,4.35,3.0886676085311167
145,3.69,2.6203520210382796
146,4.66,3.3091128503201452
147,4.44,3.1527413772281507
148,2.75,1.9528487481928696
149,5.49,3.898538712565414
150,4.05,2.876018066056362
151,3.56,2.5279446634865486
152,3.81,2.705517852413763
153,3.28,2.329195281921914
154,3.3,2.343447045135883
155,5.369999999999999,3.8131525561537067
156,3.66,2.5990729527388834
157,3.71,2.6344703026446825
158,4.59,3.259175084372129
159,3.41,2.4215307939941337
160,4.1,2.9115044079708206
161,3.96,2.8120623712578925
162,2.25,1.5977978093020149
163,3.33,2.3644824311220405
164,1.61,1.1433411154104476
165,3.7,2.627363991534847
166,3.8900000000000006,2.7621705736494624
167,4.86,3.450980261034217
168,3.06,2.1728610023798116
169,3.56,2.5280360922153773
170,3.67,2.6059649463794443
171,4.11,2.9184622460363854
172,4.0,2.840423623292086
173,4.699999999999999,3.33761685768595
174,4.81,3.4153006223255393
175,4.37,3.1029944613826776
176,4.52,3.209606225334011
177,3.07,2.180169253196489
178,3.78,2.6842774911826925
179,4.45,3.159717568092282
180,3.97,2.819198966453063
181,3.81,2.705634135231555
182,2.57,1.825042466776885
183,3.18,2.2580844522295855
184,4.51,3.202409687971875
185,3.22,2.2865715996054825
186,5.73,4.068659310946579
187,5.839999999999999,4.146531225823588
188,5.47,3.883916007440391
189,3.27,2.3221261032762164
190,4.28,3.0391082508513056
191,3.79,2.691338563663184
192,4.1,2.911609220423388
193,3.8900000000000006,2.762361333669016
194,2.64,1.8746977606737787
195,4.56,3.2377931813148564
196,2.92,2.0735373030557698
197,3.09,2.194322245622499
198,3.94,2.797822874197929
199,3.69,2.6203541530332597
200,3.67,2.606027507216523
201,2.02,1.4343875013552643
202,3.32,2.357645199980006
203,2.58,1.8321578907114517
204,3.23,2.293762102159028
205,3.45,2.4497933526670637
206,3.37,2.3929260104721886
207,4.45,3.1596944386626427
208,3.6,2.5563736006936892
209,2.67,1.895994583873588
210,2.7,1.9173982277641741
211,3.3,2.343441929076142
212,3.39,2.4073766924266033
213,6.19,4.395001947809838
214,2.73,1.9387268597414746
215,4.46,3.166850480644149
216,5.039999999999999,3.578671580200665
217,4.62,3.2805944393821904
218,3.43,2.4355161968297976
219,3.46,2.4568941098218495
220,4.61,3.2735085436818903
221,2.01,1.4273685883111253
222,4.56,3.2377920939298943
223,4.3,3.0536146029060838
224,3.5,2.485417208166086
225,3.0,2.130420415982224
226,3.59,2.5494247994287793
227,5.1899999999999995,3.685113109871573
228,5.799999999999999,4.118244882127893
229,4.05,2.8760266968701362
230,3.55,2.5208846833155722
231,3.19,2.2651825158137138
232,6.05,4.296028648441004
233,4.02,2.8545213320246345
234,4.29,3.0460901537902436
235,2.27,1.611988954627651
236,4.26,3.024962986461913
237,2.7,1.9173940022200706
238,4.989999999999999,3.543209298317392
239,4.959999999999999,3.5219880605685776
240,3.09,2.1942550263603433
241,4.13,2.9328071374415092
242,5.03,3.5718245847173744
243,3.9,2.769330902700514
244,2.95,2.0948822916515892
245,4.61,3.273370320927443
246,3.07,2.1801240781316586
247,3.36,2.385930262305787
248,3.73,2.648768002714667
249,3.0,2.1303682276912137
250,3.52,2.499735041197184
