Instance,T2M_Actual,T2M_Predicted
510,21.01,15.053441730238198
511,19.07,13.6565573272304
512,19.95,14.300482166413898
513,12.73,9.124314687124244
514,16.66,11.936002393861852
515,10.18,7.29702524805994
516,14.96,10.718739190669057
517,13.739999999999998,9.843428147144607
518,17.78,12.738611656580044
519,24.75,17.72530104810479
520,17.79,12.749479656992582
521,15.599999999999998,11.176809092155768
522,11.31,8.10446546982547
523,21.67,15.52828936819474
524,13.47,9.652413377643066
525,18.7,13.401739905468736
526,22.17,15.887734423773791
527,17.14,12.2805841104659
528,24.24,17.358465068382852
529,11.66,8.354882923417557
530,19.77,14.163415288584613
531,20.51,14.698763658872119
532,10.54,7.553413570513763
533,10.68,7.6544499471542675
534,11.64,8.341962487785274
535,20.21,14.474885951313532
536,24.36,17.451152660216426
537,19.64,14.074432301703634
538,13.11,9.392569138666842
539,12.01,8.607123261119366
540,13.26,9.500281650455568
541,11.69,8.374070695010124
542,18.54,13.288359817189546
543,23.04,16.50815453541063
544,23.04,16.50691769080262
545,20.79,14.895224398807484
546,23.03,16.50460158575136
547,18.06,12.939675348913907
548,10.84,7.767376597168692
549,8.56,6.135481959622697
550,26.6,19.051572959158836
551,23.79,17.046468974713154
552,23.56,16.877785654612907
553,14.28,10.230147262842538
554,9.22,6.607326820099449
555,22.73,16.288440734682098
556,16.97,12.159469904674182
557,9.96,7.138134959841042
558,6.409999999999999,4.592825611967197
559,13.129999999999999,9.4073225601776
560,18.96,13.583620079615795
561,20.83,14.928363617332131
562,11.05,7.917371632411129
563,13.88,9.94608685149591
564,10.88,7.795842246106221
565,26.09,18.68411896565615
566,19.45,13.942107332543808
567,22.06,15.811153726111808
568,17.38,12.45203929287375
569,9.75,6.98646308744531
570,17.6,12.611284317407925
571,8.81,6.313594916081422
572,13.189999999999998,9.453331072069725
573,16.33,11.70315343526726
574,20.67,14.814543129751872
575,19.65,14.0834503570594
576,15.77,11.301249677230777
577,10.96,7.853822393620569
578,23.91,17.123335443388576
579,10.74,7.6964973400330035
580,21.06,15.084214336449111
581,20.5,14.691722011196616
582,21.4,15.326116077582924
583,22.16,15.875478382065939
584,17.78,12.736447962795419
585,7.82,5.604877089650803
586,20.52,14.708708296078413
