Instance,WS10M_RANGE_Actual,WS10M_RANGE_Predicted
112,4.21,2.990003687452425
113,4.02,2.8551710572963285
114,3.86,2.7415705912344412
115,3.58,2.542493776946424
116,2.96,2.101988032003209
117,4.43,3.1463127401622293
118,4.29,3.0468934050190217
119,5.4,3.8344978241960432
120,4.07,2.890573217536918
121,3.72,2.6421212132421164
122,1.8,1.2784823959377611
123,3.42,2.4290212177274664
124,5.139999999999999,3.6498420067182504
125,4.03,2.862076985038693
126,5.059999999999999,3.5928277858025752
127,3.96,2.8121304258707345
128,3.84,2.727358647698662
129,4.49,3.188531639865288
130,5.359999999999999,3.806841265269248
131,5.449999999999999,3.870119720579336
132,3.11,2.2088788965507833
133,3.41,2.4214534374098826
134,4.94,3.5084864982439443
135,3.28,2.329547836098553
136,5.079999999999999,3.6078730103563785
137,2.98,2.1166822115349593
138,3.95,2.804957790297235
139,5.0,3.5506237370333977
140,3.11,2.208402072846271
141,4.72,3.352249463026632
142,4.969999999999999,3.529782471514884
143,1.9900000000000002,1.4131338454066635
144,4.35,3.0893546502462867
145,3.69,2.620361965061538
146,4.66,3.3090722215590778
147,4.44,3.152615092688237
148,2.75,1.953035441955009
149,5.49,3.8982848129715655
150,4.05,2.8758355736391494
151,3.56,2.528482690069864
152,3.81,2.7058093730343744
153,3.28,2.329056916680843
154,3.3,2.3436482464674357
155,5.369999999999999,3.8133339206862074
156,3.66,2.599237689825966
157,3.71,2.6350742570073256
158,4.59,3.2598646355549588
159,3.41,2.4214252033507684
160,4.1,2.911471861583303
161,3.96,2.811844085797567
162,2.25,1.598114949851028
163,3.33,2.365044024949946
164,1.61,1.143517518029344
165,3.7,2.6279201478436542
166,3.8900000000000006,2.7625990090815438
167,4.86,3.4517539633188585
168,3.06,2.173416015145965
169,3.56,2.5278090267248605
170,3.67,2.6064338217358274
171,4.11,2.9186975856281756
172,4.0,2.8407527633851726
173,4.699999999999999,3.3374100322550206
174,4.81,3.4156868291849354
175,4.37,3.1031764446585224
176,4.52,3.209676751885244
177,3.07,2.1800677011819496
178,3.78,2.6840326754878627
179,4.45,3.160462034247137
180,3.97,2.8191494309089196
181,3.81,2.7055803693801
182,2.57,1.8250520928268856
183,3.18,2.258137477602647
184,4.51,3.203172077976071
185,3.22,2.286948601981284
186,5.73,4.068580529572404
187,5.839999999999999,4.1471537399509755
188,5.47,3.8848352175934884
189,3.27,2.321995859607165
190,4.28,3.0396972447408843
191,3.79,2.6915524015172685
192,4.1,2.911741303432009
193,3.8900000000000006,2.7621702627844926
194,2.64,1.8749470527706333
195,4.56,3.2384724225771757
196,2.92,2.073853550883731
197,3.09,2.194562497035428
198,3.94,2.797542914629686
199,3.69,2.6205469700643094
200,3.67,2.606472895867889
201,2.02,1.4347588250968704
202,3.32,2.3576988860114643
203,2.58,1.8321806203984945
204,3.23,2.2937320811179847
205,3.45,2.4503267020398027
206,3.37,2.3931171442983663
207,4.45,3.1604600049467195
208,3.6,2.5569843764256786
209,2.67,1.896399592567323
210,2.7,1.9173257751449362
211,3.3,2.343349633001831
212,3.39,2.4073106091376006
213,6.19,4.395553943700681
214,2.73,1.9387442477041972
215,4.46,3.167720618453114
216,5.039999999999999,3.579561893297504
217,4.62,3.28079136244814
218,3.43,2.436132400486016
219,3.46,2.4574682066235187
220,4.61,3.2737052881637863
221,2.01,1.4276054948357577
222,4.56,3.238599864109474
223,4.3,3.053614804495087
224,3.5,2.4856330395703687
225,3.0,2.130445428687546
226,3.59,2.549431921523254
227,5.1899999999999995,3.6857121434566387
228,5.799999999999999,4.1190398354252
229,4.05,2.8760981109516077
230,3.55,2.5208016862478666
231,3.19,2.2656731034844007
232,6.05,4.2963925247167705
233,4.02,2.855161077901722
234,4.29,3.0467670969521077
235,2.27,1.6122845534766106
236,4.26,3.0253608052028373
237,2.7,1.9174041714335566
238,4.989999999999999,3.543631985029301
239,4.959999999999999,3.522341859835983
240,3.09,2.1946590709382994
241,4.13,2.9326951168426394
242,5.03,3.571903350570739
243,3.9,2.7700062819158644
244,2.95,2.0948319002253313
245,4.61,3.2740380446128152
246,3.07,2.180206450434674
247,3.36,2.3865316847220974
248,3.73,2.6489209517267
249,3.0,2.130496602398103
250,3.52,2.499576338884044
251,3.3,2.3432308437250167
252,2.38,1.6903831092583037
253,4.52,3.2096526926081665
254,3.24,2.3012102693036955
255,3.73,2.648683896190218
256,4.38,3.1108865017247544
257,5.4,3.834614726826653
258,3.81,2.7055357370682653
259,4.849999999999999,3.4438861816588164
260,2.94,2.0879494944591412
261,3.02,2.144766600710421
262,3.8900000000000006,2.7626251240574584
263,4.59,3.260148079392604
264,3.24,2.3008398585773007
265,4.09,2.9044448708870836
266,2.99,2.1235981774892854
267,2.74,1.9456499260399749
268,4.29,3.0469519683268005
269,2.96,2.1023118158850695
270,4.43,3.145857897188465
271,4.21,2.9896806382486334
272,4.83,3.4303800243055673
273,3.54,2.5140523521212086
274,4.11,2.919093560082659
275,4.26,3.025251053387303
276,4.92,3.493802931416844
277,4.51,3.2026138560337367
278,3.32,2.357819994018127
279,3.36,2.3860688293409633
280,2.55,1.8111073717376842
281,4.35,3.088778520610042
282,3.17,2.251322004927714
283,4.19,2.9754895730774202
284,3.9900000000000007,2.8337570440546984
285,3.41,2.4217434672242715
286,3.91,2.7767551631737555
287,3.48,2.471244603108863
288,4.929999999999999,3.501360376353011
289,5.23,3.7141780034451424
290,4.19,2.975423374045732
291,3.77,2.6775570562233217
292,3.31,2.350750435454383
293,4.04,2.8688997833340335
294,5.279999999999999,3.7492076373243544
295,4.24,3.0107248003815976
296,4.27,3.0327276875824776
297,4.5,3.1960141695641697
298,3.8900000000000006,2.7626388732646237
299,4.13,2.932928899920159
300,1.93,1.3708076875461543
301,4.26,3.0255001015439467
302,4.09,2.90482657460761
303,3.14,2.2301374280167803
304,3.31,2.350817123392203
305,5.71,4.054921232074125
306,4.51,3.2029054248007993
307,4.6,3.266750868235434
308,3.53,2.506713039322772
309,4.23,3.0041765315739473
310,3.8900000000000006,2.7620468328289376
311,2.47,1.7541322751213533
312,1.69,1.2001066629891224
313,4.49,3.188571747433237
314,4.63,3.288553618263935
315,3.38,2.4006237837835376
316,4.07,2.8902017355449248
317,4.34,3.081896581607475
318,5.039999999999999,3.578953955124105
319,5.69,4.040657420337405
320,3.9299999999999997,2.7906484603609205
321,4.52,3.209524380239905
322,3.55,2.520925936685719
323,3.47,2.464354651416842
324,4.01,2.8480886918243926
325,2.72,1.9316040775832366
326,3.12,2.215958960757576
