Instance,MSE
195,39.35496737810769
196,199.23403098488237
197,155.8143157776077
198,43.49293768254973
199,85.37110393655229
200,129.05691151382658
201,174.0859457031331
202,57.77191220232157
203,36.72164855322226
204,45.97838120161088
205,216.4456703148591
206,44.48275659464713
207,63.025795769052685
208,215.89353488073547
209,213.7000208805224
210,65.89597599860404
211,25.052528643165534
212,21.553417493975687
213,30.124401148822
214,68.93082387576307
215,178.14154262790598
216,77.31019897454759
217,13.633292722009662
218,212.22506317604754
219,194.37850673362678
220,163.63346387239952
221,191.55974659671122
222,150.53164680520928
223,33.586721179038285
224,179.60173303092697
225,21.588265818289273
226,111.90190664959546
227,30.117956122146534
228,39.67213156231022
229,53.21135111558302
230,59.388043716038275
231,152.60494708678922
232,49.44041699958155
233,225.04889605067297
234,57.651344304311856
235,184.08659433158255
236,16.2862259116166
237,44.088417157493645
238,16.120095936425354
239,67.31453414671965
240,209.59443203615834
241,30.265143921046995
242,13.629349545969282
243,201.23282409917343
244,85.92872822154789
245,102.94484199341325
246,82.33768314167013
247,177.50003316063825
248,50.678600803129775
249,136.7442564390706
250,15.296253497840278
251,40.58458551124024
252,188.6820626951214
253,31.737640323354487
254,199.3419309059851
255,42.179835713894626
256,174.30925278179419
257,30.128896338583388
258,32.80844964747795
259,143.76529085350856
260,128.08543284271303
261,119.27175517383561
262,52.32748616461584
263,150.3521463854666
264,29.88223999363376
265,39.98250125016162
266,198.21565040182426
267,105.40709527673728
268,206.73243747440222
269,174.7348268609263
270,21.245908743741463
271,79.65717510840786
272,83.23262212496832
273,88.35073256436702
274,138.50201280447484
275,66.1145865875108
276,47.83866251724033
277,66.27652269358852
278,81.52458500574117
279,145.22400671416847
280,169.56844014820746
281,75.66741500501969
282,130.67631598811474
283,61.61310573085304
284,99.86731120447894
285,75.43819159990801
286,96.94523480920958
287,143.12152513606432
288,53.82664302299472
289,57.28337512402094
290,18.183919330388857
291,218.09808512981564
292,155.6484220284307
293,16.551601290539107
294,14.095612715493537
295,45.44032970040428
296,167.9662571553315
297,154.44074047132014
298,70.89644044039157
299,31.651965414338132
300,201.90197824656914
301,110.77404928116424
302,193.29211867934626
303,187.86539370625334
304,113.85373768924067
305,34.59919884814061
306,26.879571368005063
307,55.992458738764896
308,44.742148927320045
309,113.12381716957896
310,46.34340133531933
311,138.40906642097744
312,62.318163325942685
313,97.18817558283523
314,205.44513703099065
315,167.37627428627707
316,43.22967815841704
317,50.14177261059925
318,36.275731021453524
319,20.85809967978302
320,16.054561970928834
321,73.06204627214093
322,30.193277654459013
323,111.8515937600878
324,206.52040069795677
325,29.84427334723803
326,166.8520724610804
327,153.45675841168705
328,17.731310614622476
329,64.14646730344894
330,125.04976406294061
331,37.271959829349406
332,47.94678491720948
333,189.9771173966033
334,63.39983227275257
335,60.900647197471905
336,61.7535769930036
337,36.31074311555913
338,41.39873189959574
339,218.01503759222862
340,21.295927843004534
341,25.77020878749397
342,128.3319241950953
343,64.66293534617526
344,102.68962165469515
345,31.025482249996248
346,202.1591153775718
347,34.681630119147265
348,89.15379976743837
349,191.92072338163402
350,31.091655345899536
351,22.08647706454005
352,33.920899034532674
353,24.96446497146245
354,53.25563172673599
355,56.82033464690164
356,218.00421095638617
357,207.07080538832517
358,177.27180894831497
359,82.64865557195765
360,24.710475278140432
361,46.13237038799804
362,51.03839736840998
363,155.77519434483142
364,184.46802166609652
365,200.0635116602382
366,216.6639193306264
367,119.47866697109701
368,61.29317030521861
369,21.80780914091383
370,36.0506201455623
371,20.884866623959134
372,188.7831181689752
373,159.40826441658766
374,38.83453385152778
375,18.091958208804762
376,25.227824314512976
377,192.92421621929546
378,211.4348386878878
379,50.3041973560305
380,143.62877739204842
381,21.206415224216002
382,94.20249002880733
383,26.967998320107284
384,68.76897482164152
385,74.48022602276995
386,147.8195585154373
387,229.24619873440346
388,58.313855349146934
389,150.04383212288639
390,192.7779549117565
391,107.6687398580823
392,65.80575402745696
393,30.076153434696796
394,63.910967682460864
395,46.53907880762588
396,23.492779305939383
397,22.063481126536363
398,68.62827591039061
399,202.53512727451994
400,138.71072908947605
401,207.2189945919176
402,83.78776569960444
403,154.55025086469792
404,73.48550112803898
405,48.12303133229319
406,31.65200812652286
407,56.01973467876405
408,21.736635151723288
409,56.59441461832847
410,41.3643730551115
411,189.35262866559393
412,191.39002351073665
413,45.58269832688767
414,175.27087576654864
415,32.20124312468046
416,212.56336083655108
417,42.20802230503538
418,41.644816948411204
419,48.58587593330196
420,169.16295675439673
421,184.5390923835445
422,23.419814181559648
423,27.26995167440931
424,117.31578107804513
425,111.50784969714242
426,72.39239914252651
427,112.4145326451041
428,196.07411515672877
429,37.838210077355356
430,213.52064972511073
431,65.4473780233349
432,51.28711444987945
433,69.85093076017345
434,27.10743610351058
435,37.63640256402108
436,194.56576034329257
437,148.0850074731754
438,170.27708702690975
439,179.05816029307346
440,24.793605555714105
441,34.83794821113917
442,110.84227761186186
443,26.50472722144136
444,43.43711554076875
445,23.457991224528133
446,173.4307592835048
447,206.96503597397043
448,124.4305890132754
449,215.19387228164052
450,23.099697541875916
451,32.24814746110189
452,47.89338851099499
453,154.18260988081985
454,82.85022065244546
455,46.04592365534049
456,38.838115207684424
457,194.67169002303135
458,98.04546020255054
459,199.78260426492727
460,137.81075824151367
461,110.16355253912509
462,48.839822896937626
463,188.66215537359207
464,174.04156963937973
465,24.885257179305984
466,247.4924730635225
467,202.58304362860463
468,31.473131153876626
469,52.40010698645989
470,31.890550687758957
471,185.63843856151064
472,11.880900797596889
473,27.48353761007323
474,203.49988026972076
475,21.898656265692598
476,83.4107348795043
477,159.19328519893338
478,152.5046275198928
479,67.72939639478531
480,205.39424715794897
481,158.09927786551734
482,30.254555362510924
483,156.12723343495026
484,72.619562253399
485,38.254424779014926
486,68.59756716736432
487,20.312601885676358
488,164.04814950856493
489,45.85287705311331
490,194.0939970616307
491,171.34710131872552
492,155.37679560997225
493,161.52793899005633
494,84.45418641052375
495,24.1359681387985
496,194.40991346074796
497,34.98221896665793
498,85.57491852409451
499,27.942012236164157
500,130.10469035478553
501,14.561803110737179
502,54.750754549800185
503,198.70168698014618
504,111.43364039361369
505,54.844505473158854
506,12.416842474855793
507,112.00647479538303
508,111.1610497972422
509,73.21813383659183
510,164.00116795801537
511,17.403087949887908
512,204.7334660209868
513,163.93262684883703
514,58.53432913584491
515,103.27782556081615
516,54.427183843715746
517,14.339114980612337
518,67.35265080613591
519,25.928926258102653
520,137.2582081342175
521,55.66106077474404
522,32.916201136505826
523,183.62937199870854
524,70.54537714343431
525,186.36127687630164
526,156.67404764630783
527,79.71760458785006
528,26.05555343929645
529,48.03161202698442
530,51.41419263476106
531,154.3385591340908
532,55.51678299048363
533,126.36927725200367
534,56.988393889644705
535,20.93338513195906
536,67.77965857929718
537,241.6522340671942
538,19.40170619962164
539,59.997454884985494
540,24.88302213940401
541,28.946063075899392
542,192.28164509247802
543,146.6518021763492
544,97.60296996542253
545,100.13627606775351
546,131.64708880634896
547,82.0143826956765
548,67.5956826232026
549,68.90737278561637
550,44.492291636979864
551,119.32376347639581
552,64.12947093623693
553,30.460666372565527
554,81.34882551789613
555,139.90881825744407
556,81.80659577643803
557,37.36899708564203
558,29.70574135548293
559,48.447449348765
560,47.24873136099766
561,206.39114303584367
562,21.536843676109623
563,121.39276335377146
564,47.0359829154636
565,29.47185476680401
566,220.67865599963568
567,202.8224494894425
568,56.17445229610013
569,14.938698189735996
570,106.50529331569872
571,53.18554793379718
572,113.05743157007572
573,168.36217022327443
574,185.46634978670787
575,208.49366189475415
576,124.74490554545527
577,39.38743995902367
578,26.10695720098136
579,69.24013151528176
580,46.89309700764236
581,198.68378058470353
582,25.91807911207849
583,72.033781870183
584,36.511894147725485
585,84.62023837781642
586,206.3419644791862
587,220.4084914333201
588,33.81124029119861
589,19.714523538280048
590,187.5562599139141
591,51.32253145213374
592,45.335736096026615
593,180.49951932382763
594,68.55926460077093
595,24.599653330639573
596,179.70223188126883
597,20.21311910101997
598,146.47482066363062
599,150.51880727550645
600,218.21006485583732
601,83.99856005810145
602,121.88079409057677
603,38.46262325809546
604,54.94220521241084
605,72.64881892192501
606,10.408124189801187
607,66.69975439014861
608,84.89401764982857
609,212.06440836169534
610,64.27941713620358
611,96.19821662133334
612,13.730367774355585
613,204.32738449694708
614,89.39795821495244
615,29.222447212038492
616,144.6991101726082
617,51.45473495547003
618,28.0103709800417
619,192.60987716234982
620,36.58856617433401
621,221.27885490947605
622,106.41711116736843
623,156.61446059969134
624,218.97412371334943
625,149.63015272488678
626,205.85514927031463
627,25.942889932543764
628,155.96780884355783
629,102.48131680126583
630,109.89197138360741
631,185.1160373221452
632,178.47477317576374
633,74.2971116254454
634,21.226389363671554
635,34.45431724721492
636,185.70745027421844
637,114.8642572216534
638,25.32166030348535
639,51.64828537509771
640,56.10253339482194
641,36.604590178104175
642,17.256500565890743
643,56.77093956891955
644,113.16962776262888
645,70.3207849280922
646,14.264603070027713
647,223.5527486312691
648,210.99515329417275
649,112.55920429575032
650,25.59279774824891
651,189.32335432262195
652,116.19266065715756
653,49.528991051911966
654,89.46105770618811
655,202.3756665217959
656,67.06334081953572
657,23.75685788549862
658,142.5465721815782
659,31.63591421811128
660,164.85434269887398
661,87.89085456571064
662,219.49863712199476
663,84.94282508747014
664,197.91750424358818
665,44.96436724968044
666,150.89380423075485
667,176.89689874854778
668,29.64499738898354
669,24.352694681550307
670,63.78574214413586
671,65.84522310146026
672,111.05152333374286
673,122.69634409637092
674,96.16886242250256
675,58.81616822325383
676,165.79960913272078
677,19.43844160763189
678,110.04687596068807
679,36.493434399782224
680,44.9467968531231
681,105.59896695560438
682,95.35175690573232
683,92.28829093884745
684,33.7103503775296
685,59.915798134183866
686,57.981692435434155
687,196.40031701060198
688,89.7335153528529
689,176.7671092401505
690,112.63404040873847
691,27.986818423206838
692,20.16560749711098
693,45.50014473330426
694,40.86045507759952
695,131.42316693837688
696,44.04193824632574
697,193.83576711537444
698,52.46422896662248
699,186.8126217967159
700,200.1221432624345
701,146.504132302081
702,201.9751301771934
703,102.41517475765625
704,217.1370353320017
705,19.736739958238505
706,163.85637596669707
707,199.61823875225636
708,51.4135375334699
709,42.05202138184416
710,34.10505234562449
711,64.02450168459744
712,97.61763506513789
713,58.18130992557812
714,172.6270909341289
715,140.84672485210737
716,24.08508057074755
717,197.83478030642743
718,94.30336658925536
719,11.757315511674248
720,181.33412195838073
721,188.42058014348098
722,188.21718155229772
723,180.08313567497513
724,39.854914611784714
725,52.57927120081474
726,152.9332120391356
727,30.945293999555947
728,190.7896827748135
729,165.12827177025278
730,23.896214795126188
731,67.88658800710259
732,45.67438769611903
733,30.60545691133284
734,169.6481159285433
735,211.25698378115692
736,151.83972132518082
737,58.65342343076437
738,30.593996715716372
739,63.892909602519694
740,173.87051161051218
741,104.86827718670732
742,131.25020107900858
743,184.25781673735716
744,73.94584195396796
745,69.53136370966676
746,28.3156936928317
747,173.52788186044154
748,34.63200092969545
749,29.286942133213046
750,122.02646680565307
751,33.82865395094674
752,122.01887380421738
753,34.746725575867245
754,15.984389892558477
755,26.360341796223754
756,112.82851927583052
757,100.68407362404834
758,182.66450955007818
759,73.54551421978947
760,32.59855804143273
761,150.3601561677281
762,55.08051950375194
763,71.83087152873041
764,45.80657774707553
765,25.309247179527755
766,104.4588075524549
767,46.57032819679619
768,90.21860635454009
769,77.11048495199036
770,196.9640169742769
771,214.14519209687447
772,19.18103641537984
773,79.14647396124535
774,32.422691869397056
775,69.79671727947228
776,176.07025691831436
777,221.82244852318877
778,206.853828186764
779,26.135240483908134
780,174.85741877586472
781,158.22156013350096
782,81.99182008211723
783,34.25152477238328
784,179.1458678966336
785,40.30628404590815
786,52.658176851131465
787,190.52893574828215
788,10.435032182819949
789,112.65280242911582
790,22.141082593367027
791,93.4526135471656
792,116.66347610657026
793,79.32575089165817
794,102.44024906714581
795,160.23542403014824
796,57.78107988141651
797,36.71241481459288
798,36.16844470860526
799,160.37520224748246
800,146.10336738831776
801,60.220392747641476
802,204.25455657785642
803,163.60284442604157
804,72.17333194943058
805,72.13011339858397
806,82.47288728149326
807,17.63510484371079
808,222.92169025167541
809,205.00044340223772
810,203.0468333778598
811,184.59950570407196
812,22.90959584703462
813,186.82339536057523
814,122.1557085205417
815,211.66680421252747
816,53.07161980975229
817,118.27527862501063
818,35.91991769462003
819,196.83091988531177
820,102.37418353365642
821,194.9704144430766
822,146.76303262933183
823,83.81840296539231
824,179.66134529980664
825,48.36716014278391
826,192.417332494545
827,189.73405824180747
828,78.26169170541723
829,65.88558046543982
830,27.807262901090837
831,97.2481801894836
832,89.2841899254895
833,84.6058940641784
834,41.62568042741419
835,201.97935077517374
836,187.76011976923567
837,47.88112461305903
838,78.60077854072038
839,18.40147567950049
840,170.2617258639628
841,53.89948382622379
842,15.55739389761574
843,71.99147531727229
844,155.66606267627404
845,89.17370791095534
846,72.37488853644662
847,115.52552293405044
848,38.08854776888696
849,147.9819940663729
850,195.50941148211407
851,199.57128799107673
852,236.4480150447521
853,183.76407552871396
854,35.436464012504814
855,13.77174797582451
856,22.059334366259748
857,101.19200441841339
858,186.90614460510253
859,89.25711537158253
860,29.65189558884965
861,56.12235950854361
862,94.42985090317804
863,160.77896287478077
864,138.44061151739808
865,211.89041251534593
866,131.36184523576435
867,202.70904186966683
868,75.85283056753458
869,191.8391193407086
870,89.40362383007901
871,140.9717313811594
872,49.42691087838889
873,40.42775621190557
874,39.3772774943858
875,31.3208104404455
876,147.98316720824081
877,19.925876687045577
878,54.86572053398294
879,179.22850630743855
880,139.39194601199816
881,200.138208571979
882,95.06557461950638
883,28.220006529500797
884,64.03687569941407
885,221.96331757544226
886,78.92113338142047
887,194.56643888982777
888,45.52855602368806
889,53.46392277661091
890,187.05406499088045
891,60.81746852910245
892,156.30418144764226
893,34.29195637285682
894,26.081573213061002
895,62.570395218150715
896,43.08077179756976
897,26.429093522240247
898,27.928410504837398
899,208.3929746674559
900,213.03817705834888
901,74.16483156343796
902,55.6492278487259
903,197.09856874812945
904,127.66045556169426
905,152.61131152614573
906,27.60887536197875
907,65.72224662166867
908,36.533106701644854
909,211.9579154907283
910,58.42848911946524
911,138.64173909546628
912,65.68736841397953
913,103.17321470750744
914,145.82651780853368
915,33.13690476560436
916,204.07030878361795
917,89.10329370373255
918,98.22277935463343
919,36.84514951668202
920,146.24070084574066
921,137.314901827956
922,33.79148035423956
923,30.549968881369153
924,59.737040494111035
925,141.87493366293612
926,55.06187526883465
927,17.900707846787952
928,63.6193827668776
929,32.28574287788537
930,33.10347289602266
931,161.43686038963787
932,21.04135634886978
933,52.172176913303616
934,190.7722146269908
935,50.482276583092535
936,57.84099346412871
937,182.66797079358932
938,85.28139636591528
939,168.10423095620504
940,107.73149093856814
941,187.10866678563283
942,44.756759502880755
943,7.6057879917269995
944,89.02581136810359
945,196.69797422208185
946,74.13749044619742
947,40.37940660922306
948,10.933524002970927
949,184.6312638681956
950,40.441097184763926
951,39.70709681602858
952,176.25236604621435
953,36.14798633654528
954,165.68873041316382
955,22.056720275305043
956,20.459449357637045
957,174.40814135851681
958,62.697681304331205
959,17.260259806782386
960,214.47130247417746
961,198.1673362608401
962,44.55083757496064
963,205.73065539112122
964,146.54096797270856
965,218.16668257172898
966,152.19506849554892
967,185.77169550996163
968,59.04976073069872
969,19.092361413210092
970,216.01244436784054
971,38.26634669794537
972,50.2129297508478
973,181.2085173148339
974,182.6624549535561
975,28.37415452451754
976,42.498458170771606
977,33.96125449899737
978,194.53012941254784
979,28.40906088667879
980,138.67831872936924
981,79.50479292668041
982,44.18091423651305
983,187.92554807732338
984,26.862810533520342
985,27.112347846072698
986,61.63770397823749
987,175.250801964135
988,125.52795550419803
989,179.3673140243261
990,109.27307658493844
991,148.9602400285829
992,139.5888619388896
993,167.03547757997987
994,42.73794788155238
995,99.67334128289507
996,43.17729066856714
997,14.948949745871902
998,219.3265431814182
999,13.848507519708724
1000,19.283536737486155
1001,185.99668843035388
1002,84.13320541269617
1003,50.867411932914564
1004,38.13133639023503
1005,178.54818548393777
1006,155.11041288151364
1007,30.47671711197476
1008,70.38716160015733
1009,17.116230725493892
1010,60.32570465190353
1011,57.24114895198989
1012,34.23248527347907
1013,22.610029617588122
1014,189.33481686861106
1015,16.388330714088053
1016,208.91639341377845
1017,120.30715038849532
1018,62.15693758839301
1019,195.87756485582437
1020,146.51039796016263
1021,83.53132282348837
1022,104.00184193763575
1023,42.97409106167037
1024,60.79318194904261
1025,68.15533158871939
1026,71.6183843777696
1027,30.30495432101326
1028,157.78037234030606
1029,13.410811886305481
1030,45.54020403042079
1031,66.75208507311707
1032,24.400112366706836
1033,80.7068650596414
1034,195.27543872397518
1035,152.407345287605
1036,199.26584984334576
1037,115.14169370863324
1038,190.98373518441437
1039,198.37320682442655
1040,21.311432215227818
1041,196.39048320630113
1042,84.00584397306231
1043,115.99882708546515
1044,195.66093252964254
1045,171.37429110580885
1046,35.21577851909556
1047,208.67372782156585
1048,13.618808096392469
1049,20.910119075112522
1050,90.62000865920952
1051,33.64547186209213
1052,52.83307778831037
1053,179.63428853842183
1054,70.87627435756218
1055,66.22088971114833
1056,89.98221940830568
1057,29.596547685785055
1058,40.322854968010965
1059,231.43590241912094
1060,138.33473465686285
1061,32.55607342079184
1062,105.24447183011357
1063,55.009135661546736
1064,166.99907610473826
1065,189.83289412481986
1066,90.77113096050863
1067,166.3527987243608
1068,217.17830989117763
1069,215.2643048456364
1070,215.17823880183337
1071,54.367155926917945
1072,41.59169460246178
1073,200.5849377884227
1074,89.56038747663219
1075,209.9300658746445
1076,183.17673142480294
1077,22.633059711109734
1078,57.57193776102141
1079,58.516983126475196
1080,70.98304341517424
1081,88.81255766316217
1082,24.487810446287753
1083,39.66651401970429
1084,38.50519727482175
1085,68.34754151594264
1086,49.582810759374574
1087,205.62372823770838
1088,17.737690256364754
1089,156.26599517694953
1090,216.08515297439135
1091,26.23201348888505
1092,32.401976718060695
1093,187.9341556356005
1094,54.71671197198046
1095,28.446037424176538
1096,42.694691849648414
1097,40.39263337896303
1098,210.1620856025951
1099,25.987383395877874
1100,48.96546773636383
1101,177.21434795611162
1102,65.77360381836364
1103,72.07037779776975
1104,101.26479804699197
1105,141.66980530551794
1106,198.66825937216515
1107,198.00195741225593
1108,17.178429111091365
1109,204.78663122897106
1110,42.33618227690313
1111,195.58743547139008
1112,60.21560516642379
1113,204.17700404876118
1114,28.265967228340553
1115,168.19502599937792
1116,77.38393180799014
1117,18.104566550662412
1118,224.05207214255233
1119,46.52971254025448
