DATE,DISTRICT,LAT,LON,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
2/15/1981,Kathmandu,27.7,85.3,0.0,83.92,3.84,37.14,11.87,-2.73,19.34,6.63,12.7,9.56,2.41,5.25,1.03,4.22,2.66,5.04,1.23,3.82
2/16/1981,Kathmandu,27.7,85.3,0.02,84.05,3.6,33.66,12.42,-3.5,20.17,7.11,13.06,10.13,2.42,5.18,0.83,4.34,2.86,5.4,0.8,4.6
2/17/1981,Kathmandu,27.7,85.3,0.01,84.04,3.44,32.39,12.29,-4.06,19.35,8.36,10.99,9.63,2.04,4.62,0.45,4.17,2.14,3.96,0.39,3.57
2/18/1981,Kathmandu,27.7,85.3,0.0,83.96,3.51,32.94,12.35,-3.87,19.11,7.7,11.41,9.57,1.82,4.05,0.64,3.41,1.85,3.48,0.88,2.61
2/19/1981,Kathmandu,27.7,85.3,0.0,84.1,3.69,33.42,12.89,-3.19,20.29,7.89,12.4,10.47,1.91,4.94,0.36,4.58,1.94,4.25,0.48,3.77
2/20/1981,Kathmandu,27.7,85.3,0.0,84.11,3.78,32.89,13.52,-2.81,20.93,9.28,11.65,10.83,1.96,4.86,0.51,4.35,2.06,4.45,0.69,3.76
2/21/1981,Kathmandu,27.7,85.3,0.0,84.03,3.55,32.61,12.66,-3.7,20.19,7.46,12.73,10.37,2.27,4.99,0.73,4.26,2.35,4.37,0.97,3.4
2/22/1981,Kathmandu,27.7,85.3,0.0,84.01,3.56,32.5,12.78,-3.65,20.29,7.31,12.97,10.55,2.18,4.97,0.8,4.17,2.2,4.26,0.89,3.38
2/23/1981,Kathmandu,27.7,85.3,0.0,84.17,3.8,33.27,13.44,-2.71,20.32,8.74,11.58,11.13,2.11,4.94,0.24,4.7,2.11,4.18,0.29,3.89
2/24/1981,Kathmandu,27.7,85.3,0.0,84.19,4.19,35.02,14.16,-1.28,21.84,8.78,13.06,12.13,2.38,5.99,0.8,5.2,2.54,5.76,1.11,4.65
2/25/1981,Kathmandu,27.7,85.3,0.0,84.16,4.4,36.85,14.12,-0.69,21.88,8.7,13.18,12.63,2.79,6.07,0.97,5.1,3.16,6.08,1.28,4.8
2/26/1981,Kathmandu,27.7,85.3,0.0,84.04,4.18,34.68,14.24,-1.35,21.52,9.82,11.7,12.65,2.22,5.02,0.82,4.2,2.43,4.73,1.11,3.62
2/27/1981,Kathmandu,27.7,85.3,0.0,84.01,4.16,35.12,13.95,-1.43,20.31,9.9,10.41,12.92,2.02,4.72,0.42,4.3,2.16,4.32,0.39,3.93
2/28/1981,Kathmandu,27.7,85.3,0.37,84.04,4.79,41.15,13.68,0.44,20.68,8.65,12.03,13.03,2.47,5.84,0.76,5.08,2.88,6.01,1.06,4.95
3/1/1981,Kathmandu,27.7,85.3,0.69,84.09,4.48,40.93,12.76,-0.57,20.09,7.46,12.63,12.33,2.42,4.71,0.32,4.39,2.85,4.82,0.62,4.2
3/2/1981,Kathmandu,27.7,85.3,0.07,83.99,3.85,36.99,11.98,-2.67,19.22,7.1,12.12,11.46,2.56,5.37,0.51,4.85,2.9,5.31,0.74,4.57
3/3/1981,Kathmandu,27.7,85.3,0.0,84.21,3.22,29.45,12.8,-5.02,21.03,5.74,15.29,11.24,2.15,5.17,0.07,5.09,2.19,4.53,0.13,4.4
3/4/1981,Kathmandu,27.7,85.3,0.0,84.45,3.47,29.69,13.83,-3.8,21.05,8.28,12.77,11.96,2.14,4.82,0.5,4.33,2.1,3.88,0.58,3.31
3/5/1981,Kathmandu,27.7,85.3,0.0,84.45,3.77,31.65,14.12,-2.62,21.27,9.11,12.16,12.64,2.1,4.5,0.37,4.14,2.1,3.62,0.41,3.21
3/6/1981,Kathmandu,27.7,85.3,0.0,84.46,4.25,33.87,14.93,-1.06,21.91,9.84,12.07,13.88,2.23,4.88,0.24,4.64,2.28,4.23,0.27,3.96
3/7/1981,Kathmandu,27.7,85.3,0.04,84.39,5.45,41.35,15.66,2.29,22.57,11.09,11.48,15.61,2.87,6.3,0.91,5.39,3.43,6.79,1.22,5.57
3/8/1981,Kathmandu,27.7,85.3,0.0,84.09,4.32,35.07,14.58,-1.14,22.06,8.21,13.85,14.39,2.55,5.33,0.76,4.57,2.95,5.23,1.03,4.2
3/9/1981,Kathmandu,27.7,85.3,0.14,84.12,3.73,29.89,14.81,-2.79,21.87,9.36,12.52,14.55,2.18,4.87,0.46,4.41,2.33,4.58,0.7,3.88
3/10/1981,Kathmandu,27.7,85.3,0.69,84.18,3.73,32.66,13.43,-2.76,20.83,7.57,13.26,13.29,2.47,4.68,0.32,4.36,2.66,4.31,0.25,4.06
3/11/1981,Kathmandu,27.7,85.3,0.17,84.17,4.15,35.29,13.86,-1.43,20.97,8.06,12.9,14.44,2.3,4.1,0.59,3.51,2.65,3.78,0.85,2.92
3/12/1981,Kathmandu,27.7,85.3,0.17,84.29,4.45,42.58,12.11,-0.51,17.22,8.1,9.12,12.16,1.87,3.41,0.37,3.04,2.02,2.98,0.38,2.6
3/13/1981,Kathmandu,27.7,85.3,0.18,84.32,4.88,42.82,13.41,0.7,20.31,8.11,12.2,13.16,2.31,4.55,0.48,4.07,2.5,4.09,0.53,3.56
3/14/1981,Kathmandu,27.7,85.3,0.01,84.37,5.61,45.93,14.48,2.43,21.14,9.16,11.98,14.6,2.52,5.73,0.62,5.11,2.61,4.93,0.95,3.98
3/15/1981,Kathmandu,27.7,85.3,0.01,84.44,5.62,47.15,14.11,2.78,18.83,10.9,7.93,13.76,1.72,3.43,0.41,3.02,1.79,2.96,0.61,2.35
3/16/1981,Kathmandu,27.7,85.3,3.85,84.18,6.49,57.75,13.16,4.62,18.63,9.58,9.05,13.83,2.02,4.77,0.18,4.59,2.2,4.13,0.11,4.01
3/17/1981,Kathmandu,27.7,85.3,0.25,83.76,6.19,53.75,13.46,3.68,20.76,7.73,13.03,13.72,2.81,6.6,0.91,5.69,2.97,6.09,1.06,5.03
